vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,rate_code,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount,pickup_location_id,dropoff_location_id
2,12/4/18 16:11,12/4/18 16:43,1,9.12,1,N,1,29,1,0.5,7,5.76,0.3,43.56,138,164
2,12/4/18 16:15,12/5/18 15:57,2,6,1,N,1,30.5,1,0.5,6.46,0.00E+00,0.3,38.76,163,148
2,12/4/18 17:37,12/4/18 18:13,1,6.59,1,N,1,25,1,0.5,2.7,0.00E+00,0.3,29.5,137,52
1,12/4/18 17:42,12/4/18 18:35,1,5.7,1,N,1,34,1,0.5,7,0.00E+00,0.3,42.8,87,100
1,12/4/18 17:42,12/4/18 18:05,1,6.8,1,N,1,22.5,1,0.5,4,5.76,0.3,34.06,138,41
1,12/4/18 18:10,12/4/18 18:54,1,6.5,1,N,1,29.5,1,0.5,7.8,0.00E+00,0.3,39.1,87,230
1,12/4/18 18:17,12/4/18 18:59,1,5.7,1,N,1,28,1,0.5,7.45,0.00E+00,0.3,37.25,87,163
4,12/4/18 18:24,12/4/18 18:44,1,8.09,1,N,1,24.5,1,0.5,6.41,5.76,0.3,38.47,138,262
2,12/4/18 19:28,12/4/18 19:58,1,9.89,1,N,1,31,1,0.5,4,0.00E+00,0.3,36.8,261,42
2,12/4/18 19:59,12/4/18 20:26,1,5.24,1,N,1,21.5,0.5,0.5,4.56,0.00E+00,0.3,27.36,43,231
1,12/4/18 20:29,12/4/18 20:51,1,7.8,1,N,1,24,0.5,0.5,5.05,0.00E+00,0.3,30.35,87,262
1,12/4/18 20:31,12/4/18 20:33,3,0.00E+00,5,N,1,150,0.00E+00,0.00E+00,10,16.26,0.3,176.56,265,265
1,12/4/18 21:55,12/4/18 22:20,1,6,1,N,1,22,0.5,0.5,4.65,0.00E+00,0.3,27.95,68,97
1,12/4/18 21:12,12/4/18 21:51,1,8.6,1,N,1,31.5,0.5,0.5,6.55,0.00E+00,0.3,39.35,164,189
2,12/4/18 22:10,12/4/18 22:38,1,5.89,1,N,1,21.5,0.5,0.5,5.7,0.00E+00,0.3,28.5,234,7
2,12/4/18 22:53,12/4/18 23:19,1,6.25,1,N,1,22,0.5,0.5,5.82,0.00E+00,0.3,29.12,79,7
2,12/4/18 22:20,12/4/18 22:20,1,0.00E+00,1,N,1,2.5,0.5,0.5,0.76,0.00E+00,0.3,4.56,239,239
2,12/4/18 22:51,12/4/18 23:18,2,7.9,1,N,1,26.5,0.5,0.5,5.56,0.00E+00,0.3,33.36,43,66
1,12/4/18 23:49,12/5/18 0:12,1,8.4,1,N,1,27,0.5,0.5,5.65,0.00E+00,0.3,33.95,148,7
1,11/12/18 9:20,11/12/18 9:52,2,11.8,1,N,1,36.5,0.00E+00,0.5,8.6,5.76,0.3,51.66,138,186
